race,hours,age,parttime,educ,logwg,loghrwg,married,nevermar,sepdivw
1,36,53,0,14,5.723585,2.140066,1,0,0
1,40,61,0,12,6.040255,2.351375,1,0,0
1,40,47,0,14,6.633318,2.944439,0,0,1
0,0,64,0,14,6.38097,2.691921,1,0,0
1,40,47,0,12,6.824374,3.135494,1,0,0
1,40,44,0,12,6.204962,2.516082,1,0,0
1,40,21,0,14,6.086775,2.397895,0,1,0
1,0,57,0,18,6.357704,3.401197,1,0,0
1,0,61,0,16,7.456316,3.744787,0,0,1
1,40,30,0,14,6.573122,2.884242,0,1,0
1,40,25,0,18,7.056175,3.367296,0,1,0
1,0,56,1,12,7.313221,4.382027,1,0,0
0,40,46,0,14,6.684612,2.995732,1,0,0
0,35,29,0,12,5.724402,2.169054,0,1,0
1,40,40,0,16,7.154615,3.465736,1,0,0
1,40,60,0,12,7.336937,3.648057,1,0,0
0,0,64,0,12,6.684612,2.70805,0,0,1
0,0,27,1,7.5,5.521461,2.197225,0,0,1
1,25,34,1,9,5.521461,2.302585,1,0,0
1,20,21,0,14,5.298317,2.302585,0,1,0
0,0,46,0,14,6.620073,3.258096,1,0,0
1,36,20,0,12,5.662961,2.079442,0,1,0
1,40,44,0,12,5.857933,2.169054,0,0,1
1,36,45,0,12,5.808143,2.224623,0,0,1
1,40,41,0,14,6.946976,3.258096,1,0,0
1,40,61,0,16,7.967145,4.278331,1,0,0
1,40,46,0,12,6.161207,2.472328,1,0,0
1,40,42,0,16,6.2106,2.484907,1,0,0
1,32,20,1,12,5.817111,2.351375,0,1,0
1,0,20,0,12,5.768321,2.302585,0,1,0
1,40,20,0,12,6.155664,2.263844,0,1,0
1,40,58,0,12,6.630683,2.917771,0,1,0
0,40,57,0,14,6.963758,3.274878,1,0,0
1,40,53,0,9,6.086775,2.397895,1,0,0
1,40,19,0,12,5.991465,2.302585,0,1,0
0,40,34,0,12,6.579251,2.890372,0,1,0
0,0,38,0,2.5,5.991465,2.302585,1,0,0
0,40,48,1,16,5.886104,2.197225,1,0,0
0,0,26,0,5.5,6.214608,2.484907,0,1,0
1,38,52,0,18,6.527958,2.890372,1,0,0
1,40,33,0,5.5,6.327937,2.639057,0,1,0
1,40,41,0,9,6.327937,2.639057,0,1,0
1,0,37,0,14,6.684612,3.332205,1,0,0
1,40,32,0,12,7.260663,3.378611,1,0,0
1,0,56,0,18,7.495542,4.276666,0,1,0
1,50,50,0,12,7.24065,3.295837,1,0,0
1,0,75,1,14,5.27888,2.796061,0,0,1
1,0,24,0,14,6.214608,2.931194,0,1,0
1,38,54,0,14,6.035481,2.397895,1,0,0
1,0,35,0,12,6.684612,2.876385,1,0,0
1,40,31,0,9,6.173786,2.484907,1,0,0
1,40,28,0,9,6.173786,2.484907,1,0,0
1,27,33,0,9,5.493062,2.197225,1,0,0
1,28,31,0,5.5,5.634789,2.302585,1,0,0
1,20,29,1,18,6.327937,3.332205,0,1,0
1,20,67,1,16,7.34601,4.085976,1,0,0
1,40,33,0,16,6.086775,2.397895,1,0,0
0,40,58,0,12,6.011267,2.322388,1,0,0
1,20,18,1,12,5.298317,2.302585,0,1,0
0,0,58,1,18,6.604567,3.688879,1,0,0
1,0,41,1,14,6.228511,2.197225,0,0,1
1,0,62,1,14,6.50228,2.564949,1,0,0
1,0,58,0,16,7.199275,3.401197,1,0,0
0,30,30,1,22,6.768493,3.367296,0,1,0
1,0,44,0,16,7.824046,3.951244,1,0,0
1,40,70,0,14,7.18811,3.499231,1,0,0
0,40,59,0,5.5,6.063785,2.374906,1,0,0
0,20,18,1,11,5.655992,2.230014,0,1,0
1,40,57,0,12,6.68611,2.997231,0,1,0
1,40,40,0,12,6.565265,2.876385,0,0,1
1,40,31,0,14,6.684612,2.995732,1,0,0
1,0,68,0,14,7.591236,3.637586,0,0,1
1,20,49,1,11,5.298317,2.302585,0,1,0
0,40,40,0,14,6.327937,2.639057,1,0,0
0,30,31,1,14,6.291569,2.890372,1,0,0
1,0,62,1,12,6.259046,3.068518,0,0,1
1,25,39,1,12,5.616771,2.397895,0,1,0
1,0,41,0,11,6.109248,2.564949,1,0,0
1,0,51,0,14,7.130899,3.044523,1,0,0
1,30,20,0,12,5.598422,2.197225,0,1,0
1,40,49,0,14,6.782192,2.890372,0,0,1
1,20,61,1,16,7.003066,4.007333,1,0,0
0,6,18,1,12,4.094345,2.302585,0,1,0
1,40,49,0,16,6.824374,2.995732,1,0,0
0,12,19,1,14,4.930871,2.351375,0,1,0
0,14,20,1,14,5.634789,2.302585,0,1,0
1,10,20,1,14,4.60517,2.302585,0,1,0
1,0,27,0,18,6.694178,3.73767,0,1,0
1,25,26,1,14,5.521461,2.302585,0,1,0
1,16,66,1,18,6.104793,3.332205,1,0,0
0,40,28,0,11,6.214608,2.302585,1,0,0
0,40,24,0,16,6.39693,2.70805,1,0,0
1,0,68,1,14,5.809133,3.73767,1,0,0
0,40,37,0,16,7.377759,3.688879,0,1,0
1,15,35,1,16,6.003887,3.295837,1,0,0
1,0,23,1,14,5.257495,2.351375,0,1,0
1,32,48,1,16,6.467699,2.833213,1,0,0
1,0,57,0,14,7.050851,3.135494,1,0,0
1,0,52,0,14,7.205004,2.890372,1,0,0
1,0,53,0,16,6.134547,2.995732,1,0,0
0,0,47,0,12,6.868526,2.80336,1,0,0
1,40,54,0,12,6.536692,2.847812,1,0,0
1,40,53,0,12,6.253829,2.564949,0,0,1
1,28,20,1,12,5.657529,2.325325,0,1,0
1,40,36,0,14,6.536692,2.847812,1,0,0
1,40,23,0,14,7.155591,3.020425,1,0,0
1,0,17,1,11,4.787492,2.197225,0,1,0
0,0,33,0,14,6.867974,2.652537,1,0,0
1,24,29,1,16,5.662961,2.484907,1,0,0
1,20,32,1,18,7.21524,4.219508,1,0,0
1,40,44,0,14,6.213007,2.524127,1,0,0
1,0,55,0,16,7.016951,3.744787,1,0,0
1,0,68,0,12,6.867974,3.178054,1,0,0
0,35,52,0,12,6.388561,2.833213,1,0,0
0,0,44,0,12,6.109248,2.995732,1,0,0
1,0,58,1,18,4.828314,3.184698,1,0,0
1,40,58,0,18,7.090077,3.401197,1,0,0
1,40,29,0,12,6.579251,2.890372,0,1,0
0,36,31,0,16,6.984716,3.401197,0,1,0
1,0,53,0,18,7.130899,3.355851,1,0,0
1,21,67,1,14,5.154736,2.110213,0,0,1
1,45,33,0,18,7.967145,4.160444,0,1,0
0,26,53,1,12,5.72195,2.463853,0,0,1
1,40,28,0,16,6.907755,3.218876,0,1,0
1,40,32,0,18,6.984716,3.295837,0,1,0
0,0,51,0,18,7.744002,4.094345,1,0,0
